 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês processamento
Período:Jan/2008-Ago/2020
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"24 Rio Grande do Norte";5947814,08;9509755,83;10352238,59;10855108,50;11160168,19;10475071,38;11386349,96;10640817,47;11336030,28;10606465,07;10742812,44;10091048,76;9571714,81;10699503,66;11613016,25;9515920,85;12872004,45;12353310,44;12888827,03;13075400,99;13213817,60;13294634,31;13153593,04;13652544,87;12942505,99;12272024,78;13763300,23;13693244,07;13975281,25;12960918,44;13077509,32;14081550,96;13930180,98;13010354,42;12796805,21;13667927,81;13356719,54;13551289,90;14108465,83;13871428,09;14155263,87;14213672,90;14705320,90;13632520,70;15377328,88;14675957,26;13417387,55;15167852,35;13512824,66;12434127,23;16107960,68;14820836,97;14616622,36;13433671,61;15759566,22;15565943,97;14078641,23;14275735,70;14363579,27;13095433,44;12885176,99;12865116,04;14439496,30;16240102,74;16312407,86;17005336,63;15550082,29;16128609,19;16663333,82;16560472,11;15772283,74;14467193,79;13929217,24;15175887,55;15826709,05;15179728,26;17609022,00;16326083,16;17620406,31;16897213,50;15659936,29;17260602,08;17190447,61;14552349,94;16415949,23;14663101,33;17349308,93;16485688,09;17479885,81;18357814,68;19032121,05;19083408,79;18625256,39;19305508,93;18323482,81;15732212,02;17598037,43;15944153,28;18561852,94;18551249,81;19174194,34;19665455,57;18710632,25;16407464,11;13341159,56;18596119,70;17338919,64;18965204,65;17531025,70;15915347,17;18088553,83;18346126,95;19111034,24;17755044,87;19054889,16;19795966,53;18795259,74;18444347,90;17298003,50;18311840,01;19130570,55;17631343,47;19842834,93;20774806,62;20789038,18;20137699,72;21652391,73;21629797,35;20189873,01;21332372,73;20581258,13;17227874,04;22503704,70;20181547,44;23086510,42;21820682,35;23588813,89;21530220,97;22229779,85;23120838,46;22455827,10;22262560,18;22920328,67;20947198,83;23095504,81;21643039,57;22434026,56;18738178,92;19443923,12;21466739,79;26302373,94;24929930,72;2477372149,60
"25 Paraíba";10723002,45;11386274,47;12053643,87;12653528,76;12215107,11;12256928,49;12755413,77;12872578,37;12558296,11;12768727,85;12305712,88;13581860,46;13493164,47;13482978,09;14827006,61;15397556,53;16277442,59;15879160,72;15978811,22;15590347,89;16117680,24;15751691,59;15927662,69;15437528,74;15667869,73;14904848,47;16216133,65;16257606,55;16337751,46;16092332,67;16902253,36;16841142,04;15852904,31;15585573,68;15383927,63;15669807,38;15091719,50;15326392,08;15906613,12;15346420,06;15530835,49;14633766,02;15698533,59;15128556,76;15785458,75;15328867,04;14986456,40;15093025,15;13674516,54;13859126,01;15038829,37;14957359,90;15594376,19;14427177,03;15484361,07;15786852,82;16207805,08;14966724,85;15587687,25;14506296,46;15680898,40;14385685,07;16321921,55;16872009,72;17300529,52;16599314,18;16726432,62;16484782,86;17135693,88;16816763,07;15698764,75;16166997,73;16154064,40;15621266,78;14820967,48;17230194,63;15961997,56;16137548,05;16199002,92;16547389,24;16494346,20;16266620,26;15710026,42;17326679,55;15795012,65;14480740,53;16053726,73;15962948,78;15768417,41;16774733,11;16553311,93;16708149,42;16811722,12;16405613,74;14229559,30;14090969,82;13322414,10;17075239,87;16340636,71;16301872,15;16774465,25;16795120,27;15836692,00;17335283,11;16612200,96;15902954,28;15304390,51;15163126,53;15753142,07;15083831,63;17333812,39;16955476,06;17614909,30;16903390,86;17436413,89;18419340,61;18644534,22;18532729,35;18248446,20;17956094,16;16968876,36;17091922,12;17680495,15;18379177,97;18568272,05;18934577,55;19279685,95;19011606,67;18070790,31;18497122,25;18359742,42;17425267,96;18701777,09;18280230,48;19178379,93;18839657,83;21061830,25;19447508,70;19665224,24;20397259,96;19639512,12;19312269,13;19433952,51;18232875,68;17219271,14;17587015,11;17837235,04;16266320,82;14923484,69;17332974,95;26902438,72;22130016,81;2470550104,25
"26 Pernambuco";14393949,89;24181400,95;29991302,71;34806197,97;32147987,35;32239094,89;32685640,76;35457038,66;33668261,46;30579747,51;31049830,56;36978451,28;31009217,35;32989186,42;35816570,57;35969258,01;38381369,46;37147961,64;37200037,82;37050387,71;37971068,17;39339518,15;38448709,00;36961718,24;35052507,08;32870997,66;36490461,92;39185802,19;39388462,04;38249606,84;36955723,87;40351864,49;37229907,82;40700808,63;41625911,29;39731003,01;38314655,92;38704974,94;38270479,93;43296812,53;43379503,12;42374590,03;44089917,21;44593739,90;42574100,91;46414565,03;42332627,96;41806199,96;42366739,76;40657147,53;42356775,79;46049107,38;45870310,23;47260740,98;45917428,60;46329282,68;45912255,55;45950600,84;48136622,77;45182474,26;45918510,20;46286498,91;49976492,24;51868968,30;55177829,24;54078037,35;55057140,10;56986957,30;57164851,07;59698786,84;53073903,75;59825272,68;53574898,27;54289579,09;53296924,53;57133438,18;60494904,81;58518383,00;60625402,78;60468979,19;63211650,92;62183620,21;62888953,97;56841236,06;57234817,11;55735690,30;58796396,86;59850086,94;62803941,06;64067286,88;60739524,74;62409022,55;59808747,40;57510985,60;62049537,57;55997430,18;58824239,37;57383866,85;60654457,30;59813025,14;62706675,50;62318151,51;63996670,41;63766089,53;62864173,51;62218424,19;57815722,37;60832058,72;61543259,12;58530231,23;66011432,62;62888623,19;70257954,75;69573373,69;69762828,96;68099323,25;67999680,35;66978897,02;64734221,71;65819921,92;64529749,62;59258351,04;67792662,95;66491472,88;71014021,26;68679138,11;70741826,35;70554341,99;66806054,81;67067611,96;64375684,10;63347814,94;66767187,21;63012036,07;65485622,52;65026872,36;71675203,64;68052177,03;71002753,56;70105175,96;69751772,00;73231387,37;69912310,76;65707157,96;70148903,54;64813148,37;66199027,74;49206139,44;58837630,45;63987469,53;74192800,58;75704177,72;8046954289,39
"27 Alagoas";6243726,32;8376622,16;8408336,22;9090794,82;9338771,45;10068210,08;9887061,61;9373432,00;9563580,50;9805242,71;9483679,98;9587276,26;9118308,54;9492457,06;11050019,89;11833838,52;11964555,99;11469923,64;11073104,51;10717711,38;11170853,09;11884312,16;11491215,89;11619807,05;11867279,43;10207108,49;11653866,56;13088703,56;12218895,41;11290459,20;12842411,57;12085466,59;12138067,36;11614892,98;12115995,59;11714057,19;12011224,69;11918819,26;10780789,12;12947105,72;12951346,50;12295219,31;13134894,81;12903741,77;12967407,41;13288222,37;11999461,01;15330868,88;11258052,59;11783526,18;12618040,72;11821517,67;13074948,36;13362934,23;13065460,57;12660246,70;12608997,56;12663868,38;11078766,28;12624097,09;11618652,16;12563171,21;13387565,87;14244351,49;14640837,09;13627929,53;15834288,76;14375114,59;14858651,80;16091499,26;13908428,30;14841404,05;13609870,68;12422025,11;12478218,37;13312077,86;13872465,48;13025539,55;14188201,78;14451144,57;13709145,08;14464302,80;14537796,19;13514366,94;14106631,62;14275439,26;14668358,96;14271782,14;15688044,36;14905770,86;15992067,88;15416076,33;15489051,96;14800526,97;13793847,62;14354103,69;14327679,14;14293807,39;14554654,23;13999759,98;14724606,19;15443908,31;15573956,75;15475529,10;15561671,96;14764824,13;14669628,67;14192533,17;15129171,85;15038456,12;16130532,16;15743174,63;16086575,66;16042875,36;16846127,29;16928567,14;15886458,95;16596937,09;15508260,93;15903174,01;16127151,16;16062136,29;15913321,52;16901210,99;17026428,59;16339905,36;17908975,59;16793811,48;18119580,37;17126145,58;16925355,78;15765092,87;15858616,49;17064476,64;17027823,71;16458514,97;17039962,66;17802731,50;18399929,39;16915520,06;16913798,57;17740071,36;16610757,56;16954034,95;16912758,44;15856893,58;16013809,02;15048537,21;14409211,16;15401094,32;18351680,84;19754741,78;2104405303,11
"28 Sergipe";2780750,11;3676483,16;5051473,61;5046063,36;4741151,56;5401259,63;5521904,44;5238398,50;5187912,19;4584068,70;4096786,86;4112620,16;4087554,91;4066137,68;5347746,85;5864474,02;6673113,20;5608324,33;5805868,80;5751986,48;6341601,06;5872206,67;6417612,33;5901811,49;5891195,29;5110036,54;5573525,84;7526762,19;8000159,57;5730613,66;7086244,47;7423825,48;6824254,36;6379269,17;7250384,04;5724769,61;7159572,71;5757338,71;7038966,36;6678909,21;6444423,80;5743888,41;6838013,10;7353107,85;6479016,81;7171748,35;5929696,29;6228992,25;6656143,67;6037494,41;7259238,57;7969461,13;6895848,45;7618788,42;7232613,44;7433346,82;6740007,46;6905144,37;6544005,70;5908122,76;6301344,38;7080123,24;8271668,02;8462593,98;7741746,70;6154093,13;8083772,83;7267573,20;6949523,59;6678771,08;6586368,06;6439479,68;6477148,65;6945872,51;6836562,27;6787461,29;7155130,38;7343528,74;7230138,87;6362749,71;7504906,40;7425864,90;7171541,46;6708175,23;7532979,25;6755440,98;7478153,76;8097711,61;8308576,63;7828944,90;8877007,24;9129892,18;8692417,03;8771323,27;8052546,55;7141336,77;7920697,54;7364587,54;8458296,32;9075164,55;9427424,70;8294758,44;10003202,01;16003933,99;5751946,44;6199962,79;6644582,06;7118708,08;7720209,82;7541775,26;7749421,92;7767046,51;9047436,87;8441039,71;8291702,97;9552486,43;8870825,75;9178431,79;7967802,82;7678925,80;8077634,45;7374349,70;8375279,36;9020646,60;9710691,40;8025780,50;9766114,15;10198444,73;9121714,70;10097590,01;9139082,28;8405178,91;9870763,46;9577713,59;9745805,83;10183910,27;11014405,78;9397452,52;9931458,04;9628184,03;10011078,87;10464026,39;9199453,13;8463411,72;9691241,43;9325631,63;8093465,51;8589154,91;8026929,31;8057935,10;10313262,56;11014180,89;1130337049,71
"29 Bahia";21211522,47;28189304,95;34181483,52;39026934,13;42949566,82;47025972,04;47481695,17;46931248,28;44883379,31;41920011,46;37524744,74;44878936,74;39955776,96;43111707,75;49779947,78;50014602,82;48790551,80;49132821,82;51239968,87;52458246,42;53839068,59;51437189,65;51511419,22;49837755,53;49529112,74;47153215,38;53611971,89;54059176,28;51822435,06;48193723,43;52055936,39;55169480,09;51149469,04;52998868,51;51110199,55;49797380,31;50762560,42;49506095,15;53676261,91;56230829,44;51277301,85;52554007,19;57665345,91;55394871,04;55853815,24;55020722,47;56426958,02;52119762,31;51471366,43;51583789,94;61114469,80;56470860,17;58956342,68;57286133,46;57579666,12;58850187,01;55721890,10;59174699,98;54834519,31;50805585,16;50918730,11;48031764,26;54689483,04;60346839,48;62215989,21;59468051,13;65904256,49;64805007,17;62744830,56;65845122,34;59141216,79;58290022,86;63767811,64;59915191,91;59681681,98;60920671,82;61351092,40;60026773,48;65897253,07;66456740,35;67963557,89;67904878,33;62281320,06;61537833,98;63402850,90;57533415,71;65862065,38;61002105,89;64941469,92;64000633,85;66956753,66;70145059,10;70375191,33;70212728,60;69467563,02;61697271,10;64491582,81;61030296,44;67596522,73;68946797,31;69703669,34;67427693,07;70499941,20;71275142,55;72316907,37;70322056,89;63620328,18;62906303,19;64397235,43;64634686,08;68690380,93;65626958,50;70176833,67;72870964,12;63845395,83;63756542,98;72195775,69;78409447,23;71987968,64;64648373,69;68048653,42;64475039,37;67301935,64;70138190,99;72015638,15;68213323,07;73412542,78;74505873,73;71525882,45;74899242,26;73898802,66;67083996,92;69943903,44;63037987,20;70631313,03;75656871,01;74930902,09;72311955,53;78145958,78;79465336,35;75612489,42;75333078,55;73597019,20;71008469,66;72991394,38;70075979,41;73142147,20;62651140,03;64010810,67;69567655,48;83992134,91;80793117,08;9193802684,16
"31 Minas Gerais";45671659,76;70194037,10;79231336,95;77136537,58;80554440,63;94758522,83;85360064,11;84722528,10;84601757,95;85559789,46;78329947,11;86917741,55;91374305,25;90153672,61;95290591,54;94091211,77;99076844,10;96189182,42;102754354,58;100080062,68;96911075,38;97956440,66;100726279,56;95354390,87;99017646,65;91519360,96;101602091,09;102020854,18;103346519,08;102489257,42;104427655,72;104334532,58;102057421,34;102296496,62;104624739,27;106029536,34;102848906,27;103097090,32;107148899,31;109395956,79;110963598,17;108798032,84;116882816,72;115819574,80;113941917,09;112266703,41;110320105,12;110247403,77;112999034,01;105365898,59;119320557,57;111508097,76;121916151,51;118620976,90;121071900,91;122660876,69;119912767,26;121329100,35;113629259,71;114180460,13;119841497,71;112610685,52;121483683,65;124223697,86;127149290,72;126778002,58;133371287,56;131609929,58;128782017,60;135027742,21;130065097,45;127030340,34;136493783,76;129567056,45;134327948,58;128639295,94;150031401,10;136128076,87;143612291,68;141144140,70;140835377,94;143611717,16;142982819,59;131466757,03;135056583,03;133803975,56;138617701,25;140005981,33;144748910,83;144903538,07;144893205,49;138309905,27;144319825,80;137803335,40;136740757,97;135735883,04;133990193,49;129427381,01;141285627,04;135370676,14;139139544,95;145843989,35;141622724,90;142810729,59;138557655,19;132905509,36;133811593,10;143174363,93;139000446,94;131306326,84;145820665,37;135720879,19;147516450,71;143284103,88;146849636,29;152645703,34;144488574,05;143939472,31;145123339,34;142848565,53;143158486,97;136705143,41;149829968,56;149894503,75;151546897,83;151514201,61;156680218,93;154281495,01;153867888,29;151228318,67;144867656,44;146715346,61;154066649,81;147968852,80;153459790,69;156777495,40;162963014,15;154830086,49;166207471,07;164287071,70;156567882,88;165120780,19;153006371,54;153880105,15;159196641,54;150118896,34;142773027,09;133340766,09;133388804,72;139699763,30;164891823,64;168024412,95;19160106499,88
"32 Espírito Santo";5456723,98;9102212,86;10249595,97;11253833,56;10198619,17;13364258,29;13035374,08;12588595,77;12727433,30;12656039,16;11456719,61;13797101,01;11872595,72;13159401,04;14112825,59;14441001,76;15869485,76;14289482,15;14759638,93;15682021,10;15382323,46;15580269,47;14614727,18;13389707,31;15195270,91;14089292,07;14860459,56;14590678,01;15551855,16;15094272,62;15891427,56;15427295,84;16004656,88;16310380,44;15484092,44;16640338,44;16133664,94;15161413,45;17382070,61;16934270,53;17758849,96;17172311,80;17380509,20;18970124,29;17551488,15;17970035,30;17364792,54;17496329,94;17222804,98;16751995,85;18471537,46;18456884,51;17628111,36;18107658,11;19023115,07;18953444,62;19670500,59;18950349,09;18894552,12;18281712,15;19224431,53;19035509,92;20294734,35;19595507,02;20265267,40;19658552,70;20401161,29;19998670,93;20451848,80;20131302,49;20389116,78;19058737,26;19749178,48;19147207,72;19151706,66;19881203,54;22294881,78;21299915,99;22526747,71;21969999,69;21982043,34;22883793,84;21793404,47;20417854,69;20117941,26;20664919,35;22382068,17;21407331,21;22264266,78;22284122,22;25025991,97;23401404,52;20833822,54;23424337,52;23991085,58;21437787,54;23779563,66;22790048,27;23715873,33;24827565,42;24109597,33;25658817,37;25169057,16;26725024,24;25338983,15;24619233,74;24316581,95;25928484,84;25007676,62;24191191,04;25308292,40;25031483,52;26638696,23;27029630,04;26530798,94;25867248,28;25262466,33;26309234,34;26485310,14;25493804,70;26870384,24;24762482,38;23992070,32;25580754,91;27047091,49;24431385,84;25130378,43;26009340,50;24685731,90;26243877,36;24170075,47;24502056,39;25005409,89;24433360,41;24489441,43;23966073,21;27678894,71;26257287,18;29321032,62;28080023,93;27494948,06;28981301,17;26560507,36;27447261,00;27904907,76;26290107,37;26533465,80;25035646,74;29020427,51;28942645,28;33290880,33;32188873,88;3139189177,73
"33 Rio de Janeiro";23025258,52;28394310,93;44567062,94;44054604,82;44911021,15;48056212,24;49872379,35;50912706,60;49270352,76;46434912,38;39907347,52;50581613,99;46203403,72;47094280,97;50808893,61;49188045,37;54038727,15;50720818,82;55050238,31;56202711,73;52027721,77;52063748,46;54304571,03;49771259,00;47245572,10;50655914,79;56116554,62;52070900,49;59396969,31;56866124,20;59807297,10;60274646,13;56849693,50;56972506,41;56226392,98;55766722,97;54468513,71;54490908,51;57189879,36;57530534,48;59415082,81;57500360,18;58719374,31;57725444,31;55988073,56;57067173,47;56007787,96;58500361,63;51490876,25;51218829,70;59050888,79;55713082,39;59308548,57;60946256,26;62570275,17;62562491,19;57819515,13;60680111,32;55508626,73;52938007,54;54498497,26;54241542,90;58103343,77;58179861,28;62951717,89;59378002,02;64397115,39;63688998,65;62549624,21;61105229,32;60723561,83;58602336,51;58579495,92;60080402,85;57850576,52;62325535,05;65792128,61;61276603,47;68295078,12;69883172,98;68072842,20;69180379,79;64122033,95;60517923,03;62439111,76;63737825,01;67666582,00;68284851,49;68751291,66;68009071,62;74284468,07;68985578,96;69994977,82;70135244,00;67375667,22;65073606,21;65228967,96;63377219,74;68530109,14;65491071,88;64788535,97;64647322,21;68974994,76;68889555,91;65722866,90;64254090,02;63295431,25;67082136,55;62062074,30;63262857,88;70614050,49;66831641,30;74203708,15;72248657,15;75302602,85;77717421,67;72622372,14;74953056,26;72548265,05;71176514,15;72530675,81;70910964,45;75601732,47;75998173,43;78033245,14;77683410,80;83733892,75;80453782,86;77382979,88;79404597,67;75075912,42;71286431,83;80140801,94;73535570,78;76151310,63;75853453,40;86637168,69;80125747,75;89924590,66;85720860,09;82971188,30;86392490,58;80843671,61;78579849,30;83186258,72;76116203,22;77004637,47;71403516,21;85094073,33;91507444,94;98722687,54;95274486,35;9696364115,11
"35 São Paulo";91678473,48;148677526,82;156087269,23;161227125,43;187119397,64;187291126,07;194398399,48;184854516,35;188636359,55;179706467,00;167990352,53;191857317,83;182797194,35;186855294,82;212777859,48;203186114,01;217040531,70;217195249,91;220761157,51;232536720,14;220292973,66;221987951,33;220117480,90;209094405,40;214565774,66;203116173,19;227248380,06;231543598,66;230188803,42;226021072,14;229662643,34;234530618,12;233453453,42;221127119,42;239790045,49;236929144,68;227533337,27;231062206,94;241947462,16;236443416,78;244464657,96;234179405,30;250900143,56;245433156,23;245477472,67;244204324,99;244074129,17;242364979,83;235839968,05;230716054,24;249733962,44;240380166,02;253235916,28;241125908,14;250433088,40;259627680,85;246700090,17;250015664,22;243228929,76;227461193,24;247848715,73;241953732,90;247865862,02;266015472,79;270783169,81;259417406,52;268765294,72;279842025,94;272324278,88;278881855,29;256752830,37;246881134,19;265709306,06;255681908,92;259597103,91;266474985,23;278068997,58;271417662,79;290420948,86;291009942,02;278611485,21;279890804,12;268999975,41;262125680,41;269018430,46;253476434,09;278016320,66;274325335,52;279334056,66;279844623,28;285370920,13;283869182,00;278323247,75;272986136,83;261805996,29;268851109,12;257988814,37;261132865,95;276567893,05;273412228,88;276006348,57;288616077,72;289939692,70;285504373,50;280625651,53;271080917,37;270459042,05;273722267,98;265667602,28;253804030,03;284405443,35;267260974,12;296851092,99;270596412,47;297881361,74;297309345,90;280813753,04;285740593,74;280768835,63;280080500,10;279203782,81;269524844,81;286775733,92;289711791,16;293104281,74;287922148,67;291524922,05;298702204,56;282739086,76;295671659,07;283947815,42;283179040,80;298180056,65;279427204,24;288819396,39;297834670,24;303889049,22;293587709,50;305033842,80;313868712,55;298547868,27;310847061,00;292851698,72;284749770,52;304505286,22;288872273,89;297335842,20;251320040,41;272486957,70;306425499,30;366721243,71;346512263,17;38929549655,89
"41 Paraná";38266347,46;55384670,52;53801318,85;52460306,69;54419620,71;57811688,48;58094241,83;56982774,90;57549082,26;57121887,41;53117936,61;63910909,46;64523066,04;60783727,39;65633573,31;64759375,78;65902215,41;66280753,00;69158603,32;68256573,41;65843824,73;66394412,26;66395558,19;67070814,17;65492818,75;62237724,45;70702537,78;70374693,61;72058180,69;71935547,82;72371869,39;74708055,69;72785908,90;72851750,47;75595725,52;74366096,98;75110313,47;72128616,95;73759982,82;76599030,33;75660652,68;77258175,98;80842051,59;80617519,85;75549674,67;77593673,00;76544478,19;77258303,28;76039530,59;72807882,01;77076883,24;76143545,10;83336990,84;80649521,02;81927587,90;84130063,75;78536950,50;83285621,69;81594702,93;76270832,45;79500038,93;75028184,23;80703730,00;87106955,67;87399406,72;86697435,96;87769698,09;88057167,22;90365634,46;88122492,89;87591159,75;82588891,73;83584617,32;85435762,12;83641160,75;85205955,97;90028735,19;87870952,45;90698407,25;93643329,76;93539983,04;93513605,52;90920897,47;85093676,96;86815580,94;84176293,14;91071048,29;90305345,86;92363932,23;93872517,26;95718229,92;98916070,85;95128845,06;96186825,16;96160859,00;96048736,40;93783253,43;93084827,52;100050041,15;98382855,34;104543901,52;103377082,72;108340437,09;106455448,92;107336203,74;104805099,88;102244280,05;102217981,44;101336658,86;100907457,85;108922320,46;108702876,03;111362259,15;110695749,67;116359245,54;117872309,11;111878379,52;115332028,47;114669021,47;115173908,32;118799559,86;110307818,83;116630188,99;120061032,48;121360733,68;122174618,88;124610255,04;127874482,35;123933024,51;125316844,05;125317336,68;117528767,93;122460918,04;119836506,38;123286810,02;120177202,18;126481772,97;125528571,51;125978907,59;126174536,45;126954366,08;131578320,06;127090701,66;117896293,89;122349509,69;127000113,31;117308075,66;94599403,51;107503816,77;96977288,37;109658360,43;129375911,54;13786964617,27
"42 Santa Catarina";16504913,45;25651429,11;26743524,89;27181488,26;26845308,18;29909762,04;30789135,84;31250854,33;30019676,93;31957603,59;25115484,86;30778152,01;35330776,38;29003233,40;34665661,11;33835731,44;35240482,92;34559792,10;37817434,39;37259106,98;37380382,93;35782563,69;37345105,77;33887220,81;35965111,20;30499828,80;35106629,49;38016215,79;36075962,56;36549557,80;37410644,46;39238540,97;38081890,14;38789877,44;39827583,98;38814557,50;36415863,91;36721508,61;37996132,34;38421644,32;42835662,88;41189032,41;41758217,71;41684481,18;40922878,17;43202127,53;42472572,09;39321146,15;40492256,09;37022044,67;41483655,71;39783026,17;43805455,91;44046279,27;44667604,83;47341536,84;43359745,80;45156146,64;41573779,33;39219651,32;42289935,80;40639211,68;43594853,16;48625178,22;48118188,70;47911889,44;50571448,43;48955584,63;50829444,52;51491068,29;51684328,02;48372507,22;47993678,86;47288897,03;49012952,27;48053559,67;51823540,54;52051111,63;54238795,01;58563755,12;57996386,57;55718596,57;52622351,52;50644413,58;51654807,12;49243372,32;50778038,59;53032690,60;52438940,12;55880868,36;58530304,50;56690587,83;57889887,42;55737338,22;53674531,44;54165006,62;51122044,59;51193907,71;53003389,12;55051999,99;58462423,06;57758960,80;56650625,57;59500073,33;57825717,51;57782700,40;54981230,42;50520420,22;56881263,74;49307356,23;57799235,23;53445103,28;60332325,13;58396222,86;57247011,50;60460918,42;56263507,69;56883543,13;55604043,98;54055792,10;53712418,95;51298668,32;58770698,10;60288827,83;60659252,20;62213666,20;61278050,72;62730906,87;61636890,45;63327187,97;59766664,18;55708713,29;58896965,31;57420491,79;58250110,95;61028085,60;64937709,40;63504945,54;66591656,76;68439538,79;67131286,74;67946962,52;62694674,96;62332394,92;60158459,38;63618122,76;61740647,35;51544849,24;55111547,06;54457911,56;63467828,84;63972379,36;7324100054,96
"43 Rio Grande do Sul";30931325,46;57363420,01;51547794,07;56673338,49;48397733,07;52413429,62;56636376,98;56113054,70;55356224,30;53637713,13;53699506,08;58730379,58;57629317,06;58779088,02;63366430,89;62200230,97;61683824,68;62495363,90;64614271,83;66457445,34;66425009,36;65782428,73;63714541,87;64488493,88;66304168,50;61527419,52;62490522,38;66814413,40;67900518,35;64799726,75;68518232,07;68731297,03;66174969,16;66891309,48;67456434,73;67096302,52;60754144,32;58884339,85;66205364,40;61549863,09;67005564,20;72791411,49;74300861,33;67837463,86;70064414,36;70232362,93;72554592,98;64881879,75;61611865,88;65535901,82;74336260,07;67549395,98;72179899,88;76773475,06;77774241,78;76499514,26;69764912,17;64839999,61;75459338,65;63899563,55;74162758,17;71198611,75;82497795,06;83507655,35;86819702,56;76192049,15;86985566,29;87188268,32;79988575,09;82136136,71;79836366,30;80089789,32;78857234,60;78537008,46;79394208,90;83278724,35;84494278,65;85828392,41;90610814,11;90068464,13;89050051,67;94005898,04;87733471,20;84122185,75;85079714,14;82133570,24;88517055,03;91301452,50;89895415,64;92114331,88;94943320,81;95063921,01;89867247,70;91025690,47;92841633,81;83952187,70;80130314,80;84811068,12;86491623,15;84052305,72;87840141,72;88088367,62;92470925,20;94272573,31;77466039,10;96934581,89;86678131,26;87399566,81;81109569,27;73212030,39;84033985,11;83238680,79;94756267,63;89585823,81;96174533,70;92176170,61;94228360,83;90655015,78;91242720,70;82934746,93;88817066,36;80572288,45;87419899,25;89396935,52;88148251,61;90754504,49;89093690,14;94010888,97;93664724,68;90025945,36;93081292,31;89050712,34;89664703,23;89259306,50;85585754,75;95152786,47;94163838,23;92237333,46;102298314,76;100260145,30;95917106,56;102331615,05;93971904,79;90775418,13;94908336,74;91437940,91;102876132,83;83000318,02;82381774,95;86051002,13;100531035,83;101374341,51;11958647088,33
