 Mortalidade - Maranhão
Óbitos p/Residênc por Município e Ano do Óbito
Categoria CID-10: C18   Neopl malig do colon
Período:2009-2018
"Município";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"210675 Miranda do Norte";-;-;-;-;1;-;-;-;-;-;1
"210680 Mirinzal";-;-;-;-;-;-;-;-;1;-;1
"210690 Monção";-;-;-;1;-;1;-;-;-;1;3
"210725 Nova Colinas";-;-;-;-;-;-;1;-;-;-;1
"210730 Nova Iorque";-;-;-;-;-;-;-;1;-;-;1
"210735 Nova Olinda do Maranhão";-;-;-;-;1;-;-;-;-;-;1
"210740 Olho d'Água das Cunhãs";-;-;-;1;-;-;-;-;-;-;1
"210745 Olinda Nova do Maranhão";-;-;-;-;-;-;-;1;-;-;1
"210750 Paço do Lumiar";1;1;1;3;3;-;1;5;4;5;24
"210760 Palmeirândia";-;-;-;-;-;-;-;1;-;-;1
"210770 Paraibano";-;-;-;-;-;-;-;-;1;-;1
"210780 Parnarama";1;-;-;-;-;-;-;-;-;1;2
"210810 Paulo Ramos";-;-;-;-;-;-;-;-;1;-;1
"210820 Pedreiras";1;-;-;-;-;1;-;-;2;2;6
"210825 Pedro do Rosário";-;-;-;-;-;-;-;1;-;1;2
"210830 Penalva";-;-;-;-;-;-;-;-;-;1;1
"210845 Peritoró";-;-;-;-;-;-;-;-;1;-;1
"210850 Pindaré-Mirim";1;2;-;-;-;-;-;-;-;-;3
"210860 Pinheiro";-;-;2;1;2;2;1;-;-;2;10
"210870 Pio XII";-;-;-;-;-;1;-;-;-;1;2
"210880 Pirapemas";1;-;-;-;-;-;-;-;1;-;2
"210890 Poção de Pedras";-;-;-;1;-;-;-;1;-;-;2
"210900 Porto Franco";-;-;-;1;-;-;-;-;1;-;2
"210910 Presidente Dutra";1;-;1;-;1;1;-;2;-;2;8
"210923 Presidente Médici";-;-;-;-;-;-;-;1;-;-;1
"210927 Presidente Sarney";-;-;-;1;-;-;-;-;-;-;1
"210930 Presidente Vargas";-;-;-;-;1;-;-;-;-;-;1
"210940 Primeira Cruz";-;-;-;-;-;-;-;-;-;1;1
"210945 Raposa";-;1;-;-;-;-;-;-;-;2;3
"210950 Riachão";-;-;-;-;-;-;-;1;1;1;3
"210960 Rosário";-;-;-;-;-;-;1;-;2;-;3
"210975 Santa Filomena do Maranhão";-;-;-;-;-;-;1;-;-;-;1
"210990 Santa Inês";1;-;2;-;-;1;-;-;-;2;6
"211000 Santa Luzia";-;-;1;1;-;-;1;-;1;1;5
"211003 Santa Luzia do Paruá";-;-;-;-;1;1;-;-;-;-;2
"211010 Santa Quitéria do Maranhão";-;-;-;-;-;-;1;-;-;1;2
"211020 Santa Rita";-;-;-;-;1;1;-;1;-;-;3
"211023 Santana do Maranhão";-;1;-;-;-;-;-;1;-;-;2
"211027 Santo Amaro do Maranhão";-;-;-;-;-;1;-;-;-;-;1
"211040 São Benedito do Rio Preto";-;-;-;-;-;-;-;1;-;-;1
"211050 São Bento";-;-;-;-;-;-;-;1;1;-;2
"211060 São Bernardo";-;-;1;-;1;1;-;-;-;-;3
"211070 São Domingos do Maranhão";-;-;-;1;-;1;1;1;-;-;4
"211085 São Francisco do Brejão";-;-;-;-;1;-;-;-;-;-;1
"211090 São Francisco do Maranhão";-;-;-;1;-;-;-;-;-;-;1
"211100 São João Batista";-;-;-;-;-;-;1;-;-;-;1
"211105 São João do Paraíso";-;-;-;1;-;-;-;-;-;-;1
"211107 São João do Soter";1;-;-;-;-;-;-;-;-;-;1
"211120 São José de Ribamar";-;3;1;2;1;4;3;5;4;6;29
"211130 São Luís";21;23;27;29;36;44;50;37;32;28;327
"211140 São Luís Gonzaga do Maranhão";1;2;-;-;-;-;-;-;-;-;3
"211150 São Mateus do Maranhão";-;2;-;-;-;-;-;-;-;1;3
"211170 São Vicente Ferrer";-;-;-;-;-;-;2;-;-;-;2
"211176 Senador La Rocque";-;-;-;-;-;1;-;-;-;-;1
"211180 Sítio Novo";-;-;-;-;-;-;1;-;-;-;1
"211190 Sucupira do Norte";-;-;-;-;-;1;-;-;-;-;1
"211200 Tasso Fragoso";-;-;-;-;-;1;-;-;-;-;1
"211210 Timbiras";-;1;-;-;1;-;1;1;1;-;5
"211220 Timon";3;2;-;3;1;3;2;3;3;3;23
"211223 Trizidela do Vale";-;-;-;1;-;-;1;1;2;-;5
"211227 Tufilândia";-;-;-;-;-;-;-;-;1;-;1
"211230 Tuntum";-;-;-;-;1;-;-;-;1;1;3
"211240 Turiaçu";-;-;1;-;-;1;-;1;-;-;3
"211250 Tutóia";1;-;1;-;-;-;-;-;1;-;3
"211270 Vargem Grande";1;-;1;-;-;-;1;1;1;1;6
"211280 Viana";-;-;-;-;-;-;1;1;2;-;4
"211290 Vitória do Mearim";-;-;-;-;-;1;1;-;1;-;3
"211300 Vitorino Freire";-;-;-;-;-;-;-;1;-;-;1
"211400 Zé Doca";1;-;1;-;-;-;1;2;-;-;5
"210000 Município ignorado - MA";-;-;-;-;-;-;1;1;-;1;3
"Total";56;57;57;72;74;96;102;103;111;100;828
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 
