year,month,state,deaths
1970,9,BA,3
1970,9,CE,10
1970,9,DF,58
1970,9,ES,100
1970,9,GO,180
1970,9,MS,7
1970,9,MG,4559
1970,9,PR,600
1970,9,PE,1887
1970,9,PI,2
1970,9,RJ,35
1970,9,RN,3
1970,9,RS,929
1970,9,SC,238
1970,9,SP,13359
1970,9,SE,66
1970,10,BA,8
1970,10,CE,5
1970,10,DF,66
1970,10,ES,151
1970,10,GO,210
1970,10,MS,3
1970,10,MG,5096
1970,10,PR,1130
1970,10,PE,1934
1970,10,RJ,32
1970,10,RN,24
1970,10,RS,926
1970,10,SC,233
1970,10,SP,13416
1970,10,SE,56
1970,10,TO,1
1970,11,BA,5
1970,11,CE,6
1970,11,DF,101
1970,11,ES,104
1970,11,GO,199
1970,11,MA,1
1970,11,MS,11
1970,11,MG,4911
1970,11,PA,1
1970,11,PB,2
1970,11,PR,631
1970,11,PE,1755
1970,11,PI,2
1970,11,RJ,10
1970,11,RN,10
1970,11,RS,956
1970,11,SC,206
1970,11,SP,13325
1970,11,SE,62
1970,12,AL,1
1970,12,BA,7
1970,12,CE,4
1970,12,DF,79
1970,12,ES,93
1970,12,GO,192
1970,12,MS,4
1970,12,MG,5180
1970,12,PR,1162
1970,12,PE,1745
1970,12,PI,1
1970,12,RJ,40
1970,12,RN,8
1970,12,RS,982
1970,12,SC,261
1970,12,SP,13723
1970,12,SE,63
1971,1,AC,1
1971,1,AL,1
1971,1,AM,1
1971,1,BA,14
1971,1,CE,15
1971,1,DF,52
1971,1,ES,102
1971,1,GO,185
1971,1,MS,6
1971,1,MG,4838
1971,1,PR,612
1971,1,PE,1492
1971,1,PI,1
1971,1,RJ,44
1971,1,RN,7
1971,1,RS,1040
1971,1,SC,265
1971,1,SP,14180
1971,1,SE,62
1971,2,BA,11
1971,2,CE,5
1971,2,DF,63
1971,2,ES,88
1971,2,GO,144
1971,2,MS,7
1971,2,MG,3984
1971,2,PB,2
1971,2,PR,1069
1971,2,PE,1477
1971,2,PI,3
1971,2,RJ,54
1971,2,RN,5
1971,2,RS,1037
1971,2,SC,234
1971,2,SP,12626
1971,2,SE,51
1971,3,AC,2
1971,3,AL,1
1971,3,BA,12
1971,3,CE,26
1971,3,DF,61
1971,3,ES,103
1971,3,GO,174
1971,3,MS,11
1971,3,MG,4387
1971,3,PA,1
1971,3,PB,4
1971,3,PR,655
1971,3,PE,1715
1971,3,RJ,32
1971,3,RN,38
1971,3,RS,1063
1971,3,SC,285
1971,3,SP,13946
1971,3,SE,66
1971,4,AC,2
1971,4,BA,14
1971,4,CE,18
1971,4,DF,45
1971,4,ES,96
1971,4,GO,152
1971,4,MA,1
1971,4,MS,5
1971,4,MG,4249
1971,4,PR,672
1971,4,PE,2193
1971,4,RJ,35
1971,4,RN,16
1971,4,RS,1028
1971,4,SC,232
1971,4,SP,13380
1971,4,SE,65
1971,5,AC,2
1971,5,AP,1
1971,5,BA,17
1971,5,CE,12
1971,5,DF,51
1971,5,ES,97
1971,5,GO,197
1971,5,MS,10
1971,5,MG,4428
1971,5,PB,1
1971,5,PR,1179
1971,5,PE,3001
1971,5,RJ,43
1971,5,RN,8
1971,5,RS,1123
1971,5,SC,266
1971,5,SP,14253
1971,5,SE,87
1971,6,AC,2
1971,6,BA,12
1971,6,CE,11
1971,6,DF,48
1971,6,ES,131
1971,6,GO,189
1971,6,MS,8
1971,6,MG,4795
1971,6,PA,1
1971,6,PR,669
1971,6,PE,2743
1971,6,RJ,43
1971,6,RN,4
1971,6,RS,1305
1971,6,SC,286
1971,6,SP,15225
1971,6,SE,109
1971,7,AC,2
1971,7,AP,1
1971,7,BA,31
1971,7,CE,7
1971,7,DF,61
1971,7,ES,95
1971,7,GO,225
1971,7,MA,1
1971,7,MT,1
1971,7,MS,3
1971,7,MG,5039
1971,7,PB,2
1971,7,PR,1212
1971,7,PE,2077
1971,7,PI,1
1971,7,RJ,38
1971,7,RN,2
1971,7,RS,1167
1971,7,SC,251
1971,7,SP,15862
1971,7,SE,74
1971,8,AC,2
1971,8,AL,1
1971,8,AP,1
1971,8,BA,18
1971,8,CE,9
1971,8,DF,59
1971,8,ES,108
1971,8,GO,219
1971,8,MA,1
1971,8,MS,6
1971,8,MG,4945
1971,8,PB,3
1971,8,PR,626
1971,8,PE,1484
1971,8,RJ,38
1971,8,RS,1138
1971,8,SC,267
1971,8,SP,14826
1971,8,SE,66
1971,9,AC,1
1971,9,AP,19
1971,9,BA,23
1971,9,CE,13
1971,9,DF,65
1971,9,ES,99
1971,9,GO,194
1971,9,MS,13
1971,9,MG,4884
1971,9,PA,1
1971,9,PB,2
1971,9,PR,1112
1971,9,PE,1396
1971,9,PI,3
1971,9,RJ,39
1971,9,RN,30
1971,9,RS,1053
1971,9,SC,286
1971,9,SP,13939
1971,9,SE,66
1971,10,AC,3
1971,10,AL,1
1971,10,AP,19
1971,10,BA,16
1971,10,CE,6
1971,10,DF,64
1971,10,ES,114
1971,10,GO,204
1971,10,MA,2
1971,10,MS,7
1971,10,MG,4974
1971,10,PB,1
1971,10,PR,607
1971,10,PE,1489
1971,10,RJ,42
1971,10,RN,9
1971,10,RS,1127
1971,10,SC,230
1971,10,SP,13862
1971,10,SE,58
1971,11,AC,7
1971,11,AP,32
1971,11,BA,23
1971,11,CE,12
1971,11,DF,93
1971,11,ES,86
1971,11,GO,244
1971,11,MS,6
1971,11,MG,5030
1971,11,PA,1
1971,11,PR,616
1971,11,PE,1549
1971,11,PI,6
1971,11,RJ,28
1971,11,RN,9
1971,11,RS,1156
1971,11,SC,246
1971,11,SP,13954
1971,11,SE,50
1971,12,AC,1
1971,12,AP,28
1971,12,BA,18
1971,12,CE,7
1971,12,DF,102
1971,12,ES,109
1971,12,GO,231
1971,12,MS,6
1971,12,MG,4910
1971,12,PB,1
1971,12,PR,1127
1971,12,PE,1612
1971,12,RJ,31
1971,12,RN,25
1971,12,RS,1179
1971,12,SC,249
1971,12,SP,13759
1971,12,SE,60
1972,1,AC,3
1972,1,AP,23
1972,1,BA,20
1972,1,CE,6
1972,1,DF,77
1972,1,ES,76
1972,1,GO,196
1972,1,MS,8
1972,1,MG,4682
1972,1,PB,2
1972,1,PR,643
1972,1,PE,1658
1972,1,PI,1
1972,1,RJ,35
1972,1,RN,2
1972,1,RS,1030
1972,1,SC,220
1972,1,SP,13688
1972,1,SE,59
1972,2,AP,35
1972,2,BA,19
1972,2,CE,4
1972,2,DF,72
1972,2,ES,85
1972,2,GO,173
1972,2,MS,9
1972,2,MG,4169
1972,2,PB,3
1972,2,PR,1107
1972,2,PE,1691
1972,2,PI,1
1972,2,RJ,31
1972,2,RN,6
1972,2,RS,1013
1972,2,SC,229
1972,2,SP,12992
1972,2,SE,44
1972,3,AC,2
1972,3,AL,1
1972,3,AP,31
1972,3,AM,3
1972,3,BA,25
1972,3,CE,10
1972,3,DF,73
1972,3,ES,88
1972,3,GO,230
1972,3,MA,1
1972,3,MS,8
1972,3,MG,4324
1972,3,PB,3
1972,3,PR,625
1972,3,PE,1727
1972,3,PI,1
1972,3,RJ,44
1972,3,RN,8
1972,3,RS,981
1972,3,SC,245
1972,3,SP,14027
1972,3,SE,59
1972,4,AC,3
1972,4,AP,29
1972,4,BA,27
1972,4,CE,6
1972,4,DF,77
1972,4,ES,61
1972,4,GO,214
1972,4,MS,3
1972,4,MG,4261
1972,4,PB,9
1972,4,PR,607
1972,4,PE,2036
1972,4,PI,1
1972,4,RJ,30
1972,4,RN,6
1972,4,RS,957
1972,4,SC,244
1972,4,SP,13610
1972,4,SE,36
1972,4,TO,2
1972,5,AC,1
1972,5,AL,1
1972,5,AP,35
1972,5,BA,29
1972,5,CE,10
1972,5,DF,77
1972,5,ES,96
1972,5,GO,232
1972,5,MS,12
1972,5,MG,4457
1972,5,PB,13
1972,5,PR,1187
1972,5,PE,2172
1972,5,PI,2
1972,5,RJ,21
1972,5,RN,6
1972,5,RS,1087
1972,5,SC,274
1972,5,SP,14549
1972,5,SE,64
1972,6,AC,2
1972,6,AL,1
1972,6,AP,32
1972,6,BA,22
1972,6,CE,11
1972,6,DF,73
1972,6,ES,100
1972,6,GO,255
1972,6,MS,4
1972,6,MG,4586
1972,6,PB,1
1972,6,PR,613
1972,6,PE,2155
1972,6,PI,1
1972,6,RJ,7
1972,6,RN,8
1972,6,RS,967
1972,6,SC,290
1972,6,SP,15409
1972,6,SE,53
1972,7,AC,2
1972,7,AL,1
1972,7,AP,27
1972,7,BA,25
1972,7,CE,4
1972,7,DF,59
1972,7,ES,109
1972,7,GO,296
1972,7,MA,2
1972,7,MS,8
1972,7,MG,4836
1972,7,PB,3
1972,7,PR,1224
1972,7,PE,2257
1972,7,RJ,5
1972,7,RN,6
1972,7,RS,1289
1972,7,SC,329
1972,7,SP,16896
1972,7,SE,64
1972,8,AC,2
1972,8,AL,1
1972,8,AP,27
1972,8,BA,31
1972,8,CE,7
1972,8,DF,93
1972,8,ES,87
1972,8,GO,264
1972,8,MS,10
1972,8,MG,5002
1972,8,PR,741
1972,8,PE,1973
1972,8,PI,4
1972,8,RJ,8
1972,8,RN,44
1972,8,RS,1336
1972,8,SC,336
1972,8,SP,15124
1972,8,SE,58
1972,9,AC,1
1972,9,AP,29
1972,9,BA,31
1972,9,CE,8
1972,9,DF,77
1972,9,ES,93
1972,9,GO,216
1972,9,MA,1
1972,9,MS,5
1972,9,MG,4619
1972,9,PR,1214
1972,9,PE,1854
1972,9,PI,3
1972,9,RJ,6
1972,9,RN,7
1972,9,RS,1254
1972,9,SC,287
1972,9,SP,14259
1972,9,SE,40
1972,10,AP,24
1972,10,BA,28
1972,10,CE,7
1972,10,DF,104
1972,10,ES,85
1972,10,GO,259
1972,10,MA,1
1972,10,MS,7
1972,10,MG,4847
1972,10,PB,3
1972,10,PR,700
1972,10,PE,1791
1972,10,PI,4
1972,10,RJ,5
1972,10,RN,4
1972,10,RS,1250
1972,10,SC,326
1972,10,SP,15662
1972,10,SE,54
1972,11,AC,3
1972,11,AP,28
1972,11,BA,38
1972,11,CE,5
1972,11,DF,156
1972,11,ES,87
1972,11,GO,241
1972,11,MS,8
1972,11,MG,4628
1972,11,PB,1
1972,11,PR,715
1972,11,PE,1794
1972,11,PI,5
1972,11,RJ,5
1972,11,RN,9
1972,11,RS,1014
1972,11,SC,288
1972,11,SP,14005
1972,11,SE,53
1972,12,AC,4
1972,12,AP,16
1972,12,BA,22
1972,12,CE,5
1972,12,DF,153
1972,12,ES,78
1972,12,GO,356
1972,12,MA,1
1972,12,MS,6
1972,12,MG,4971
1972,12,PB,4
1972,12,PR,1334
1972,12,PE,1851
1972,12,PI,5
1972,12,RJ,4
1972,12,RN,5
1972,12,RS,1057
1972,12,SC,263
1972,12,SP,15300
1972,12,SE,55
1973,1,AC,4
1973,1,BA,29
1973,1,CE,12
1973,1,DF,109
1973,1,ES,89
1973,1,GO,258
1973,1,MS,6
1973,1,MG,5088
1973,1,PB,3
1973,1,PR,769
1973,1,PE,2574
1973,1,PI,10
1973,1,RJ,11
1973,1,RN,7
1973,1,RS,1040
1973,1,SC,267
1973,1,SP,15949
1973,1,SE,54
1973,2,AC,3
1973,2,AL,1
1973,2,BA,30
1973,2,CE,15
1973,2,DF,95
1973,2,ES,91
1973,2,GO,208
1973,2,MS,7
1973,2,MG,4582
1973,2,PB,6
1973,2,PR,1249
1973,2,PE,2626
1973,2,PI,2
1973,2,RJ,5
1973,2,RN,9
1973,2,RS,957
1973,2,SC,269
1973,2,SP,14987
1973,2,SE,51
1973,3,AC,9
1973,3,BA,36
1973,3,CE,14
1973,3,DF,116
1973,3,ES,98
1973,3,GO,199
1973,3,MA,1
1973,3,MS,15
1973,3,MG,5120
1973,3,PA,1
1973,3,PB,3
1973,3,PR,820
1973,3,PE,3039
1973,3,PI,3
1973,3,RJ,10
1973,3,RN,8
1973,3,RS,1072
1973,3,SC,237
1973,3,SP,16543
1973,3,SE,71
1973,4,AC,3
1973,4,BA,37
1973,4,CE,12
1973,4,DF,59
1973,4,ES,92
1973,4,GO,254
1973,4,MS,7
1973,4,MG,5304
1973,4,PB,6
1973,4,PR,1595
1973,4,PE,2485
1973,4,PI,4
1973,4,RJ,6
1973,4,RN,6
1973,4,RS,1088
1973,4,SC,321
1973,4,SP,15962
1973,4,SE,63
1973,5,AC,10
1973,5,AP,1
1973,5,BA,54
1973,5,CE,14
1973,5,DF,65
1973,5,ES,91
1973,5,GO,242
1973,5,MA,1
1973,5,MS,9
1973,5,MG,5396
1973,5,PB,3
1973,5,PR,1627
1973,5,PE,2679
1973,5,PI,4
1973,5,RJ,36
1973,5,RN,10
1973,5,RS,1381
1973,5,SC,367
1973,5,SP,16732
1973,5,SE,72
1973,6,AC,5
1973,6,AP,2
1973,6,BA,55
1973,6,CE,9
1973,6,DF,49
1973,6,ES,90
1973,6,GO,212
1973,6,MA,1
1973,6,MS,2
1973,6,MG,5027
1973,6,PA,1
1973,6,PB,1
1973,6,PR,1244
1973,6,PE,2372
1973,6,PI,13
1973,6,RJ,54
1973,6,RN,7
1973,6,RS,1259
1973,6,SC,328
1973,6,SP,15482
1973,6,SE,94
1973,7,AC,3
1973,7,AL,2
1973,7,BA,38
1973,7,CE,15
1973,7,DF,63
1973,7,ES,78
1973,7,GO,261
1973,7,MA,5
1973,7,MS,13
1973,7,MG,5033
1973,7,PB,3
1973,7,PR,1648
1973,7,PE,2206
1973,7,PI,2
1973,7,RJ,36
1973,7,RN,8
1973,7,RS,1323
1973,7,SC,382
1973,7,SP,16128
1973,7,SE,75
1973,8,AC,4
1973,8,AL,1
1973,8,BA,59
1973,8,CE,15
1973,8,DF,99
1973,8,ES,101
1973,8,GO,212
1973,8,MA,1
1973,8,MS,9
1973,8,MG,5093
1973,8,PA,1
1973,8,PB,5
1973,8,PR,992
1973,8,PE,2002
1973,8,PI,3
1973,8,RJ,14
1973,8,RN,14
1973,8,RS,1279
1973,8,SC,330
1973,8,SP,17055
1973,8,SE,58
1973,9,AC,4
1973,9,BA,31
1973,9,CE,8
1973,9,DF,105
1973,9,ES,90
1973,9,GO,232
1973,9,MA,2
1973,9,MS,6
1973,9,MG,4790
1973,9,PB,2
1973,9,PR,1318
1973,9,PE,1697
1973,9,PI,3
1973,9,RJ,4
1973,9,RN,7
1973,9,RS,1151
1973,9,SC,310
1973,9,SP,15386
1973,9,SE,52
1973,10,AC,6
1973,10,BA,24
1973,10,CE,12
1973,10,DF,123
1973,10,ES,120
1973,10,GO,266
1973,10,MS,4
1973,10,MG,5125
1973,10,PA,3
1973,10,PB,4
1973,10,PR,958
1973,10,PE,2129
1973,10,RJ,8
1973,10,RN,14
1973,10,RS,1201
1973,10,SC,323
1973,10,SP,15611
1973,10,SE,54
1973,11,AC,3
1973,11,BA,16
1973,11,CE,13
1973,11,DF,139
1973,11,ES,89
1973,11,GO,270
1973,11,MA,1
1973,11,MS,11
1973,11,MG,5158
1973,11,PA,1
1973,11,PB,2
1973,11,PR,1372
1973,11,PE,2109
1973,11,PI,2
1973,11,RJ,2
1973,11,RN,9
1973,11,RS,1052
1973,11,SC,256
1973,11,SP,14446
1973,11,SE,53
1973,12,AC,3
1973,12,AL,1
1973,12,BA,15
1973,12,CE,16
1973,12,DF,102
1973,12,ES,97
1973,12,GO,296
1973,12,MS,6
1973,12,MG,5386
1973,12,PB,3
1973,12,PR,867
1973,12,PE,2025
1973,12,PI,4
1973,12,RJ,7
1973,12,RN,9
1973,12,RS,1099
1973,12,SC,268
1973,12,SP,14455
1973,12,SE,42
1974,1,AC,3
1974,1,AL,1
1974,1,AP,3
1974,1,BA,20
1974,1,CE,10
1974,1,DF,76
1974,1,ES,133
1974,1,GO,258
1974,1,MA,2
1974,1,MS,12
1974,1,MG,5212
1974,1,PA,1
1974,1,PB,2
1974,1,PR,1530
1974,1,PE,2266
1974,1,PI,3
1974,1,RJ,1
1974,1,RN,12
1974,1,RS,1090
1974,1,SC,317
1974,1,SP,15358
1974,1,SE,48
1974,2,AL,1
1974,2,AP,21
1974,2,BA,16
1974,2,CE,7
1974,2,DF,57
1974,2,ES,71
1974,2,GO,184
1974,2,MS,3
1974,2,MG,4364
1974,2,PB,3
1974,2,PR,917
1974,2,PE,2114
1974,2,PI,1
1974,2,RJ,5
1974,2,RN,12
1974,2,RS,937
1974,2,SC,270
1974,2,SP,14483
1974,2,SE,46
1974,3,AC,1
1974,3,AP,16
1974,3,BA,28
1974,3,CE,19
1974,3,DF,68
1974,3,ES,107
1974,3,GO,232
1974,3,MA,3
1974,3,MS,5
1974,3,MG,4573
1974,3,PA,1
1974,3,PB,2
1974,3,PR,1491
1974,3,PE,2611
1974,3,PI,1
1974,3,RJ,6
1974,3,RN,19
1974,3,RS,1056
1974,3,SC,269
1974,3,SP,15334
1974,3,SE,45
1974,4,AC,4
1974,4,BA,14
1974,4,CE,14
1974,4,DF,44
1974,4,ES,98
1974,4,GO,214
1974,4,MA,1
1974,4,MS,7
1974,4,MG,4505
1974,4,PA,2
1974,4,PB,5
1974,4,PR,1000
1974,4,PE,2743
1974,4,PI,1
1974,4,RJ,4
1974,4,RN,14
1974,4,RS,1017
1974,4,SC,300
1974,4,SP,15783
1974,4,SE,59
1974,4,TO,1
1974,5,AL,1
1974,5,BA,30
1974,5,CE,15
1974,5,DF,56
1974,5,ES,108
1974,5,GO,235
1974,5,MA,5
1974,5,MS,18
1974,5,MG,4702
1974,5,PA,3
1974,5,PB,5
1974,5,PR,914
1974,5,PE,2361
1974,5,PI,6
1974,5,RJ,7
1974,5,RN,5
1974,5,RS,1094
1974,5,SC,312
1974,5,SP,16023
1974,5,SE,63
1974,6,AC,2
1974,6,BA,40
1974,6,CE,13
1974,6,DF,50
1974,6,ES,86
1974,6,GO,216
1974,6,MA,2
1974,6,MS,9
1974,6,MG,5073
1974,6,PB,8
1974,6,PR,1382
1974,6,PE,1872
1974,6,PI,3
1974,6,RJ,10
1974,6,RN,2
1974,6,RS,1175
1974,6,SC,327
1974,6,SP,16024
1974,6,SE,72
1974,6,TO,2
1974,7,AC,2
1974,7,AL,1
1974,7,BA,34
1974,7,CE,16
1974,7,DF,71
1974,7,ES,131
1974,7,GO,240
1974,7,MA,1
1974,7,MS,11
1974,7,MG,5804
1974,7,PA,3
1974,7,PB,2
1974,7,PR,1454
1974,7,PE,1893
1974,7,PI,8
1974,7,RJ,14
1974,7,RN,2
1974,7,RS,1362
1974,7,SC,339
1974,7,SP,19685
1974,7,SE,59
1974,8,AC,6
1974,8,AL,2
1974,8,BA,57
1974,8,CE,9
1974,8,DF,82
1974,8,ES,124
1974,8,GO,269
1974,8,MS,14
1974,8,MG,5889
1974,8,PA,2
1974,8,PB,2
1974,8,PR,925
1974,8,PE,1860
1974,8,PI,1
1974,8,RJ,9
1974,8,RN,3
1974,8,RS,1270
1974,8,SC,380
1974,8,SP,17861
1974,8,SE,53
1974,9,AC,2
1974,9,AL,1
1974,9,BA,53
1974,9,CE,9
1974,9,DF,65
1974,9,ES,133
1974,9,GO,288
1974,9,MA,1
1974,9,MS,12
1974,9,MG,5051
1974,9,PB,1
1974,9,PR,1411
1974,9,PE,1817
1974,9,PI,4
1974,9,RJ,3
1974,9,RN,5
1974,9,RS,1204
1974,9,SC,376
1974,9,SP,15802
1974,9,SE,44
1974,10,AL,1
1974,10,BA,32
1974,10,CE,18
1974,10,DF,77
1974,10,ES,117
1974,10,GO,266
1974,10,MS,6
1974,10,MG,4950
1974,10,PA,3
1974,10,PB,2
1974,10,PR,789
1974,10,PE,1850
1974,10,PI,5
1974,10,RJ,4
1974,10,RN,3
1974,10,RS,1130
1974,10,SC,279
1974,10,SP,15310
1974,10,SE,35
1974,11,AC,3
1974,11,BA,38
1974,11,CE,10
1974,11,DF,69
1974,11,ES,120
1974,11,GO,254
1974,11,MA,3
1974,11,MS,7
1974,11,MG,4923
1974,11,PB,4
1974,11,PR,1345
1974,11,PE,1955
1974,11,PI,1
1974,11,RJ,7
1974,11,RN,7
1974,11,RS,1033
1974,11,SC,289
1974,11,SP,15322
1974,11,SE,48
1974,12,AC,1
1974,12,BA,66
1974,12,CE,18
1974,12,DF,73
1974,12,ES,170
1974,12,GO,291
1974,12,MA,2
1974,12,MS,11
1974,12,MG,5133
1974,12,PA,1
1974,12,PB,8
1974,12,PR,856
1974,12,PE,2082
1974,12,PI,5
1974,12,RJ,3
1974,12,RN,4
1974,12,RS,1152
1974,12,SC,313
1974,12,SP,15861
1974,12,SE,58
1975,1,AC,2
1975,1,BA,16
1975,1,CE,16
1975,1,DF,70
1975,1,ES,167
1975,1,GO,273
1975,1,MA,1
1975,1,MS,9
1975,1,MG,5190
1975,1,PA,1
1975,1,PB,4
1975,1,PR,1504
1975,1,PE,2557
1975,1,PI,3
1975,1,RJ,7
1975,1,RN,10
1975,1,RS,1115
1975,1,SC,291
1975,1,SP,16578
1975,1,SE,71
1975,1,TO,2
1975,2,BA,22
1975,2,CE,11
1975,2,DF,62
1975,2,ES,142
1975,2,GO,197
1975,2,MS,7
1975,2,MG,4468
1975,2,PA,2
1975,2,PB,8
1975,2,PR,806
1975,2,PE,2439
1975,2,PI,3
1975,2,RJ,10
1975,2,RN,6
1975,2,RS,985
1975,2,SC,306
1975,2,SP,14729
1975,2,SE,59
1975,2,TO,2
1975,3,AC,4
1975,3,AL,1
1975,3,BA,23
1975,3,CE,15
1975,3,DF,65
1975,3,ES,178
1975,3,GO,243
1975,3,MA,1
1975,3,MS,15
1975,3,MG,4726
1975,3,PA,1
1975,3,PB,4
1975,3,PR,1417
1975,3,PE,2660
1975,3,PI,3
1975,3,RJ,2
1975,3,RN,6
1975,3,RS,1055
1975,3,SC,257
1975,3,SP,15887
1975,3,SE,54
1975,3,TO,1
1975,4,AC,1
1975,4,AL,1
1975,4,BA,44
1975,4,CE,17
1975,4,DF,80
1975,4,ES,163
1975,4,GO,247
1975,4,MS,9
1975,4,MG,4693
1975,4,PA,1
1975,4,PB,5
1975,4,PR,1010
1975,4,PE,3084
1975,4,PI,6
1975,4,RJ,5
1975,4,RN,9
1975,4,RS,1091
1975,4,SC,308
1975,4,SP,15329
1975,4,SE,67
1975,5,AC,3
1975,5,AL,1
1975,5,BA,32
1975,5,CE,22
1975,5,DF,75
1975,5,ES,181
1975,5,GO,242
1975,5,MS,14
1975,5,MG,5169
1975,5,PB,4
1975,5,PR,1603
1975,5,PE,3216
1975,5,PI,2
1975,5,RJ,5
1975,5,RN,11
1975,5,RS,1111
1975,5,SC,294
1975,5,SP,16032
1975,5,SE,70
1975,6,AC,6
1975,6,AL,1
1975,6,BA,42
1975,6,CE,16
1975,6,DF,60
1975,6,ES,190
1975,6,GO,284
1975,6,MS,10
1975,6,MG,5350
1975,6,PA,3
1975,6,PB,6
1975,6,PR,979
1975,6,PE,3557
1975,6,PI,9
1975,6,RJ,3
1975,6,RN,6
1975,6,RS,1146
1975,6,SC,254
1975,6,SP,16184
1975,6,SE,101
1975,6,TO,2
1975,7,AC,5
1975,7,AL,1
1975,7,BA,52
1975,7,CE,23
1975,7,DF,67
1975,7,ES,204
1975,7,GO,284
1975,7,MS,9
1975,7,MG,5734
1975,7,PA,1
1975,7,PB,5
1975,7,PR,1599
1975,7,PE,3993
1975,7,PI,3
1975,7,RJ,8
1975,7,RN,6
1975,7,RS,1254
1975,7,SC,275
1975,7,SP,18178
1975,7,SE,88
1975,8,AC,11
1975,8,BA,54
1975,8,CE,13
1975,8,DF,55
1975,8,ES,153
1975,8,GO,281
1975,8,MS,14
1975,8,MG,5405
1975,8,PA,1
1975,8,PB,8
1975,8,PR,914
1975,8,PE,3098
1975,8,PI,3
1975,8,RJ,6
1975,8,RN,9
1975,8,RS,1174
1975,8,SC,244
1975,8,SP,15697
1975,8,SE,69
1975,9,AC,5
1975,9,AL,1
1975,9,AP,16
1975,9,BA,61
1975,9,CE,18
1975,9,DF,64
1975,9,ES,154
1975,9,GO,314
1975,9,MS,9
1975,9,MG,5213
1975,9,PB,5
1975,9,PR,1454
1975,9,PE,2808
1975,9,PI,4
1975,9,RJ,7
1975,9,RS,1231
1975,9,SC,270
1975,9,SP,15123
1975,9,SE,59
1975,10,AC,2
1975,10,AL,2
1975,10,AP,61
1975,10,BA,58
1975,10,CE,20
1975,10,DF,68
1975,10,ES,175
1975,10,GO,348
1975,10,MA,1
1975,10,MS,13
1975,10,MG,5270
1975,10,PA,1
1975,10,PB,5
1975,10,PR,1023
1975,10,PE,2886
1975,10,PI,3
1975,10,RJ,9
1975,10,RN,5
1975,10,RS,1049
1975,10,SC,272
1975,10,SP,15729
1975,10,SE,73
1975,10,TO,2
1975,11,AC,5
1975,11,AP,31
1975,11,BA,59
1975,11,CE,11
1975,11,DF,68
1975,11,ES,164
1975,11,GO,313
1975,11,MS,6
1975,11,MG,5124
1975,11,PB,2
1975,11,PR,1638
1975,11,PE,2543
1975,11,PI,4
1975,11,RJ,6
1975,11,RN,2
1975,11,RS,1019
1975,11,SC,225
1975,11,SP,14885
1975,11,SE,63
